2023-04-20,166.17,169.55,160.56,162.99,162.99,209966736,0.0,1.0
2023-04-19,179.1,183.5,177.65,180.59,180.59,125732687,0.0,1.0
2023-04-18,187.15,187.69,183.5775,184.31,184.31,92067016,0.0,1.0
2023-04-17,186.32,189.69,182.69,187.04,187.04,116177121,0.0,1.0
2023-04-14,183.95,186.28,182.01,185.0,185.0,96438664,0.0,1.0
2023-04-13,182.955,186.5,180.94,185.9,185.9,112932985,0.0,1.0
2023-04-12,190.74,191.5846,180.31,180.54,180.54,150256278,0.0,1.0
2023-04-11,186.69,189.19,185.6475,186.79,186.79,115770892,0.0,1.0
2023-04-10,179.94,185.1,176.11,184.51,184.51,142154637,0.0,1.0
2023-04-06,183.08,186.39,179.74,185.06,185.06,123857932,0.0,1.0
2023-04-05,190.515,190.68,183.76,185.52,185.52,133882493,0.0,1.0
2023-04-04,197.32,198.7446,190.32,192.58,192.58,126463845,0.0,1.0
2023-04-03,199.91,202.6897,192.2,194.77,194.77,169545900,0.0,1.0
2023-03-31,197.53,207.79,197.2,207.46,207.46,170222118,0.0,1.0
2023-03-30,195.58,197.33,194.42,195.28,195.28,110252238,0.0,1.0
2023-03-29,193.13,195.29,189.44,193.88,193.88,123660026,0.0,1.0
2023-03-28,192.0,192.35,185.43,189.19,189.19,98654635,0.0,1.0
2023-03-27,194.415,197.39,189.94,191.81,191.81,120851587,0.0,1.0
2023-03-24,191.65,192.36,187.15,190.41,190.41,116531584,0.0,1.0
2023-03-23,195.26,199.31,188.65,192.22,192.22,144193876,0.0,1.0
2023-03-22,199.3,200.66,190.95,191.15,191.15,150376373,0.0,1.0
2023-03-21,188.28,198.0,188.04,197.58,197.58,153391444,0.0,1.0
2023-03-20,178.08,186.44,176.35,183.25,183.25,129684359,0.0,1.0
2023-03-17,184.515,186.2199,177.33,180.13,180.13,133197140,0.0,1.0
2023-03-16,180.365,185.81,178.84,184.13,184.13,121374453,0.0,1.0
2023-03-15,180.8,182.34,176.03,180.45,180.45,145995583,0.0,1.0
2023-03-14,177.31,183.8,177.1401,183.26,183.26,143717897,0.0,1.0
2023-03-13,167.455,177.35,163.91,174.48,174.48,167790256,0.0,1.0
2023-03-10,175.13,178.29,168.44,173.44,173.44,191488872,0.0,1.0
2023-03-09,180.25,185.18,172.5124,172.92,172.92,170023794,0.0,1.0
2023-03-08,185.04,186.5,180.0,182.0,182.0,151897763,0.0,1.0
2023-03-07,191.38,194.2,186.1,187.71,187.71,148125790,0.0,1.0
